TRADE LOOPS (534 total trades):

239-LEMIN from Amnese             receives 349-TRIUM from aaronseeber
1008-CBALL from nnf1              receives $25.0 from srand
$25.0 from srand                  receives 681-TERRA from Friendless
681-TERRA from Friendless         receives $25.0 from cyberkev63
$25.0 from cyberkev63             receives 652-DESCE from zerogeek
652-DESCE from zerogeek           receives 011-RAILR from Unhalfbricking
011-RAILR from Unhalfbricking     receives 567-CASHS from Oiler
567-CASHS from Oiler              receives 649-SHADO from zerogeek
649-SHADO from zerogeek           receives 959-WARGM from psmaylott
959-WARGM from psmaylott          receives 757-TBGGG from Tezza
757-TBGGG from Tezza              receives 159-SHEAR from dlow
159-SHEAR from dlow               receives 171-LOTRR from snog
171-LOTRR from snog               receives 699-HAPPY from Amnese
699-HAPPY from Amnese             receives 666-RUNEB from rktboy
666-RUNEB from rktboy             receives 759-NIAGR from Tezza
759-NIAGR from Tezza              receives 499-HAREA from Friendless
499-HAREA from Friendless         receives 556-CCARD from gmcnish
556-CCARD from gmcnish            receives $20.0 from Aneirin
$20.0 from Aneirin                receives 682-QUEEN from Friendless
682-QUEEN from Friendless         receives $20.0 from cyberkev63
$20.0 from cyberkev63             receives 924-MAXIM from mr_lunch
924-MAXIM from mr_lunch           receives 704-TAJMA from Amnese
704-TAJMA from Amnese             receives 176-ZEERO from wilderness
176-ZEERO from wilderness         receives 282-LNBUR from snog
282-LNBUR from snog               receives 314-SILNT from squire
314-SILNT from squire             receives $60.0 from Tyndal
$60.0 from Tyndal                 receives 591-STREK from rktboy
591-STREK from rktboy             receives 435-TOKYO from ateh
435-TOKYO from ateh               receives 758-VEGAS from Tezza
758-VEGAS from Tezza              receives 653-AWFUL from rktboy
653-AWFUL from rktboy             receives 362-PERRY from damnyouhussies
362-PERRY from damnyouhussies     receives 097-DUCKG from smittenkitten
097-DUCKG from smittenkitten      receives 035-TORRE from red turtle
035-TORRE from red turtle         receives 268-SYANY from earlyworm
268-SYANY from earlyworm          receives 303-TALIS from Neil Thomson
303-TALIS from Neil Thomson       receives 107-BATTL from some_guy
107-BATTL from some_guy           receives 230-WOWAG from petegs
230-WOWAG from petegs             receives 931-VAULT from Tyndal
931-VAULT from Tyndal             receives 912-HQTKK from mr_lunch
912-HQTKK from mr_lunch           receives 496-TIMBU from Friendless
496-TIMBU from Friendless         receives 131-MONKS from thepackrat
131-MONKS from thepackrat         receives 545-BFORE from gmcnish
545-BFORE from gmcnish            receives 532-ATLAN from tiggers
532-ATLAN from tiggers            receives 143-MMUSA from ChrisPayne
143-MMUSA from ChrisPayne         receives 962-BEANS from cyberkev63
962-BEANS from cyberkev63         receives $20.0 from Croup and Vandemar
$20.0 from Croup and Vandemar     receives 032-CUTTC from revgiblet
032-CUTTC from revgiblet          receives 283-AFTER from da pyrate
283-AFTER from da pyrate          receives 643-TONGA from Mark_Owen_Reich
643-TONGA from Mark_Owen_Reich    receives 125-JADEG from thepackrat
125-JADEG from thepackrat         receives 885-KOSMS from Phil81
885-KOSMS from Phil81             receives 992-RPGBD from Hida Mann
992-RPGBD from Hida Mann          receives 345-ROBOT from Friendless
345-ROBOT from Friendless         receives $20.0 from cyberkev63
$20.0 from cyberkev63             receives 671-NEXUS from srand
671-NEXUS from srand              receives 564-MYKER from regor
564-MYKER from regor              receives 120-BEOWF from petegs
120-BEOWF from petegs             receives 909-HELLS from mr_lunch
909-HELLS from mr_lunch           receives 057-EDISN from Hida Mann
057-EDISN from Hida Mann          receives 660-MDZEP from rktboy
660-MDZEP from rktboy             receives 536-MISSI from tiggers
536-MISSI from tiggers            receives 854-JTCOE from Phil81
854-JTCOE from Phil81             receives 381-MAGIE from PBrennan
381-MAGIE from PBrennan           receives 363-CADDY from damnyouhussies
363-CADDY from damnyouhussies     receives 029-WOLSG from Unhalfbricking
029-WOLSG from Unhalfbricking     receives $20.0 from Ozludo
$20.0 from Ozludo                 receives 888-UPTWN from Phil81
888-UPTWN from Phil81             receives $15.0 from cyberkev63
$15.0 from cyberkev63             receives 673-OASIS from srand
673-OASIS from srand              receives 778-AAGUA from hxbx
778-AAGUA from hxbx               receives 174-WASHI from wilderness
174-WASHI from wilderness         receives 832-STCAT from ausminstrel
832-STCAT from ausminstrel        receives 963-BREAK from cyberkev63
963-BREAK from cyberkev63         receives $20.0 from Phil81
$20.0 from Phil81                 receives 127-OCEAN from smittenkitten
127-OCEAN from smittenkitten      receives $25.0 from dlow
$25.0 from dlow                   receives 021-LABYR from revgiblet
021-LABYR from revgiblet          receives 437-MEMOR from anomander64
437-MEMOR from anomander64        receives 710-ADUCT from Scholle
710-ADUCT from Scholle            receives $30.0 from cyberkev63
$30.0 from cyberkev63             receives 385-SIDME from PBrennan
385-SIDME from PBrennan           receives 304-HAPPY from squire
304-HAPPY from squire             receives $40.0 from red turtle
$40.0 from red turtle             receives 276-BLORE from ateh
276-BLORE from ateh               receives 574-SAMUR from Tyndal
574-SAMUR from Tyndal             receives $30.0 from srand
$30.0 from srand                  receives 491-SCOTS from Paul65
491-SCOTS from Paul65             receives 377-CATAN from PBrennan
377-CATAN from PBrennan           receives 740-RUNEA from fFish
740-RUNEA from fFish              receives 261-THUND from earlyworm
261-THUND from earlyworm          receives 164-IHAVE from dlow
164-IHAVE from dlow               receives 817-ODINR from ausminstrel
817-ODINR from ausminstrel        receives 203-CCNOR from Scholle
203-CCNOR from Scholle            receives $25.0 from cyberkev63
$25.0 from cyberkev63             receives 627-REPUB from trif
627-REPUB from trif               receives 296-WILDL from Mikey
296-WILDL from Mikey              receives 777-MACRA from hxbx
777-MACRA from hxbx               receives 648-HUMAN from zerogeek
648-HUMAN from zerogeek           receives 601-CARCA from actionman
601-CARCA from actionman          receives 805-SCYRD from batcut
805-SCYRD from batcut             receives $35.0 from Tyndal
$35.0 from Tyndal                 receives 697-ARKDH from Amnese
697-ARKDH from Amnese             receives 340-DITDK from Friendless
340-DITDK from Friendless         receives 640-RESIS from Mark_Owen_Reich
640-RESIS from Mark_Owen_Reich    receives 573-MICRO from Tyndal
573-MICRO from Tyndal             receives $30.0 from srand
$30.0 from srand                  receives 008-TWIST from Thiessi
008-TWIST from Thiessi            receives 251-SHEAR from red turtle
251-SHEAR from red turtle         receives $25.0 from cyberkev63
$25.0 from cyberkev63             receives 746-DOMIN from fFish
746-DOMIN from fFish              receives 179-EGIZA from wilderness
179-EGIZA from wilderness         receives 535-SATOR from tiggers
535-SATOR from tiggers            receives 418-GULOG from Oiler
418-GULOG from Oiler              receives 891-CATSA from srand
891-CATSA from srand              receives 115-FEDCM from petegs
115-FEDCM from petegs             receives 485-PRICO from Friendless
485-PRICO from Friendless         receives $35.0 from Mark_Owen_Reich
$35.0 from Mark_Owen_Reich        receives 984-RUNEA from wilderness
984-RUNEA from wilderness         receives $35.0 from kathyb
$35.0 from kathyb                 receives 1035-FINCA from Aneirin
1035-FINCA from Aneirin           receives 539-MONTA from sysyphus
539-MONTA from sysyphus           receives 167-ARKAD from snog
167-ARKAD from snog               receives 246-HELLE from petegs
246-HELLE from petegs             receives 455-MARTI from Patriachakai
455-MARTI from Patriachakai       receives 105-COSMI from some_guy
105-COSMI from some_guy           receives 063-ESCAP from Hida Mann
063-ESCAP from Hida Mann          receives 392-DRAKE from PBrennan
392-DRAKE from PBrennan           receives 732-HMEXP from Mariana
732-HMEXP from Mariana            receives 084-TURRI from Unhalfbricking
084-TURRI from Unhalfbricking     receives $15.0 from cyberkev63
$15.0 from cyberkev63             receives 031-BOOTY from revgiblet
031-BOOTY from revgiblet          receives 265-SABOT from earlyworm
265-SABOT from earlyworm          receives 148-BUCCA from Amiguero
148-BUCCA from Amiguero           receives 524-UBOCG from tiggers
524-UBOCG from tiggers            receives 121-CALIF from thepackrat
121-CALIF from thepackrat         receives 920-FAMIL from jcbgg
920-FAMIL from jcbgg              receives 756-ARCAN from fFish
756-ARCAN from fFish              receives 360-CARCT from kathyb
360-CARCT from kathyb             receives 064-RKPAK from Hida Mann
064-RKPAK from Hida Mann          receives 670-BTGAL from srand
670-BTGAL from srand              receives 755-INTRU from Hida Mann
755-INTRU from Hida Mann          receives 129-MIDKG from thepackrat
129-MIDKG from thepackrat         receives 956-BALLC from cyberkev63
956-BALLC from cyberkev63         receives $30.0 from red turtle
$30.0 from red turtle             receives 853-SWARS from TumbleSteak
853-SWARS from TumbleSteak        receives 350-RFTGY from aaronseeber
350-RFTGY from aaronseeber        receives 816-EDTRI from ausminstrel
816-EDTRI from ausminstrel        receives 919-BALDE from mr_lunch
919-BALDE from mr_lunch           receives 943-REVIL from srand
943-REVIL from srand              receives 939-BTOWN from Tyndal
939-BTOWN from Tyndal             receives 836-DISGA from Amiguero
836-DISGA from Amiguero           receives 899-RALLY from Chuie
899-RALLY from Chuie              receives 191-BRIDG from Morka
191-BRIDG from Morka              receives 332-SJUAN from randomninja
332-SJUAN from randomninja        receives 572-LEGGA from Tyndal
572-LEGGA from Tyndal             receives 661-REDIN from rktboy
661-REDIN from rktboy             receives 869-POUTN from Neil Thomson
869-POUTN from Neil Thomson       receives 941-INNFG from mr_lunch
941-INNFG from mr_lunch           receives 615-ANIMA from trif
615-ANIMA from trif               receives 998-LOTFR from Hida Mann
998-LOTFR from Hida Mann          receives 608-DARKE from Patriachakai
608-DARKE from Patriachakai       receives 109-PKING from some_guy
109-PKING from some_guy           receives 589-SWORD from Patriachakai
589-SWORD from Patriachakai       receives 1031-LRTCG from nnf1
1031-LRTCG from nnf1              receives $15.0 from Lucky Phil
$15.0 from Lucky Phil             receives 515-ALCHE from Jabroney
515-ALCHE from Jabroney           receives 020-DREAM from revgiblet
020-DREAM from revgiblet          receives 013-ROMAN from Unhalfbricking
013-ROMAN from Unhalfbricking     receives 593-LOTRC from Damhsa_Roisin
593-LOTRC from Damhsa_Roisin      receives 548-SHEAR from gmcnish
548-SHEAR from gmcnish            receives 527-KAMAK from tiggers
527-KAMAK from tiggers            receives 102-CLANS from smittenkitten
102-CLANS from smittenkitten      receives 190-EMIRA from Morka
190-EMIRA from Morka              receives 325-AQUAR from Phil81
325-AQUAR from Phil81             receives 494-MASON from Friendless
494-MASON from Friendless         receives $25.0 from cyberkev63
$25.0 from cyberkev63             receives 313-BIBLI from squire
313-BIBLI from squire             receives $40.0 from red turtle
$40.0 from red turtle             receives 219-PACKS from Scholle
219-PACKS from Scholle            receives 823-CONST from ausminstrel
823-CONST from ausminstrel        receives 047-SIDSX from red turtle
047-SIDSX from red turtle         receives 069-HEROM from Thiessi
069-HEROM from Thiessi            receives 954-ATARI from mr_lunch
954-ATARI from mr_lunch           receives 488-TIKAL from anton70
488-TIKAL from anton70            receives 662-DCWEL from zerogeek
662-DCWEL from zerogeek           receives 1036-RFTGY from Phil81
1036-RFTGY from Phil81            receives 287-CHIEX from revgiblet
287-CHIEX from revgiblet          receives 243-CCEUR from wilderness
243-CCEUR from wilderness         receives 821-ASTRA from ausminstrel
821-ASTRA from ausminstrel        receives 604-YSPAH from Lucky Phil
604-YSPAH from Lucky Phil         receives 181-PIRAT from wilderness
181-PIRAT from wilderness         receives 189-IGELA from Lucky Phil
189-IGELA from Lucky Phil         receives 324-BBALL from Oiler
324-BBALL from Oiler              receives 302-LOSTT from Amiguero
302-LOSTT from Amiguero           receives 1029-VOAUF from nnf1
1029-VOAUF from nnf1              receives $15.0 from Lucky Phil
$15.0 from Lucky Phil             receives 533-GETBT from tiggers
533-GETBT from tiggers            receives 908-TWOTW from mr_lunch
908-TWOTW from mr_lunch           receives 570-GHEOS from Tyndal
570-GHEOS from Tyndal             receives 913-HQRWL from mr_lunch
913-HQRWL from mr_lunch           receives 1023-HEIML from nnf1
1023-HEIML from nnf1              receives $25.0 from Damhsa_Roisin
$25.0 from Damhsa_Roisin          receives 254-FAMIL from TorbenVang
254-FAMIL from TorbenVang         receives 559-CHANG from gmcnish
559-CHANG from gmcnish            receives 942-AMSTE from the_pirate
942-AMSTE from the_pirate         receives 932-BOMBY from batcut
932-BOMBY from batcut             receives $45.0 from hxbx
$45.0 from hxbx                   receives 145-WAYOW from petegs
145-WAYOW from petegs             receives 240-PRAAA from Amnese

169-AUSTE from snog               receives 273-FLAME from da pyrate
273-FLAME from da pyrate          receives 169-AUSTE from snog

736-RENAI from snog               receives 693-BONAP from Oiler
693-BONAP from Oiler              receives 289-WRING from revgiblet
